capacity,eightd_has_key_dispenser,electric_bike_surcharge_waiver,external_id,has_kiosk,lat,lon,name,region_id,short_name,station_id,station_type
12,false,false,08254a91-1f3f-11e7-bf6b-3863bb334450,true,38.8444,-77.085931,S Four Mile Run Dr & Shirlington Rd,41,31057,08254a91-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,3900eddf-b06d-4763-af70-1126603508d0,true,38.917716,-77.022684,8th & V St NW,42,31134,3900eddf-b06d-4763-af70-1126603508d0,classic
19,false,false,082476ba-1f3f-11e7-bf6b-3863bb334450,true,38.9268,-77.0322,14th & Harvard St NW,42,31105,082476ba-1f3f-11e7-bf6b-3863bb334450,classic
11,false,false,08263885-1f3f-11e7-bf6b-3863bb334450,true,38.962524,-77.361902,Town Center Pkwy & Bowman Towne Dr,104,32210,08263885-1f3f-11e7-bf6b-3863bb334450,classic
19,false,false,48ca5477-32a2-485d-961d-5371f2d1d5e1,true,38.8828,-77.2283,Dunn Loring Metro,104,32231,48ca5477-32a2-485d-961d-5371f2d1d5e1,classic
39,false,false,5f71434d-dc5c-45ff-8219-708a3d9a0691,true,38.876893,-77.006072,1st & M St SE,42,31650,5f71434d-dc5c-45ff-8219-708a3d9a0691,classic
14,false,false,e581e0b6-51ea-416a-9ae7-6fe5219d7156,true,39.062041,-77.120776,Twinbrook Metro,43,32074,e581e0b6-51ea-416a-9ae7-6fe5219d7156,classic
15,false,false,c9760156-83bd-4a7d-9dfa-85d7ee463f62,true,38.9216413,-76.9556866,Fort Lincoln Dr & 33rd Pl NE,42,31537,c9760156-83bd-4a7d-9dfa-85d7ee463f62,classic
11,false,false,1890204475243844522,true,38.868979,-77.275484,Mission Square Dr & Miranda Ct,,31397,1890204475243844522,classic
19,false,false,3f177fa3-6267-4138-82b3-6b528d71d3b2,true,38.881116725009335,-77.01769933104515,4th & G St SW,42,31666,3f177fa3-6267-4138-82b3-6b528d71d3b2,classic
33,false,false,96ce48cf-5d98-4dfb-86b1-f461230cd193,true,38.897108,-77.011616,New Jersey Ave & F St NW,42,31655,96ce48cf-5d98-4dfb-86b1-f461230cd193,classic
19,false,false,177f7198-8814-4068-b809-b6074346d2e9,true,38.911213594521456,-77.0022565126419,Tanner Park,42,31533,177f7198-8814-4068-b809-b6074346d2e9,classic
12,false,false,08251bba-1f3f-11e7-bf6b-3863bb334450,true,38.876393,-77.107735,N Quincy St & Glebe Rd,41,31035,08251bba-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,08257239-1f3f-11e7-bf6b-3863bb334450,true,38.856319,-77.11153,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,41,31068,08257239-1f3f-11e7-bf6b-3863bb334450,classic
15,false,false,1e196ee1-daa4-4fa6-b6f8-197b31e6d170,true,38.81403111409755,-77.04281687736511,N Pitt St & Montgomery St,40,31931,1e196ee1-daa4-4fa6-b6f8-197b31e6d170,classic
19,false,false,3f1dfbbd-7b34-4efd-91a3-60acad4cf42f,true,38.885908,-76.991476,11th & C St SE,42,31659,3f1dfbbd-7b34-4efd-91a3-60acad4cf42f,classic
